lemma,n_forms,examples
0%,1,0%
100%,1,100%
absolutely,1,absolutely
accept,3,"accept, accepted, accepting"
accommodate,3,"accommodate, accommodated, accommodating"
accompany,1,accompany
accomplish,3,"accomplish, accomplished, accomplishing"
accountability,1,accountability
accountable,1,accountable
achieve,3,"achieve, achieved, achieving"
acknowledge,2,"acknowledge, acknowledged"
acknowleding,1,acknowleding
act,3,"act, acted, acting"
actively,1,actively
acutely,1,acutely
adapt,3,"adapt, adapted, adapting"
address,3,"address, addressed, addressing"
adept,1,adept
admit,3,"admit, admitted, admitting"
advacing,1,advacing
advance,2,"advance, advanced"
advise,3,"advise, advised, advising"
advocate,3,"advocate, advocated, advocating"
aid,3,"aid, aided, aiding"
align,1,align
all,1,all
always,1,always
ambitious,1,ambitious
amend,3,"amend, amended, amending"
analyze,3,"analyze, analyzed, analyzing"
anticipate,1,anticipate
apex,1,apex
apologize,3,"apologize, apologized, apologizing"
apply,1,apply
appreciate,3,"appreciate, appreciated, appreciating"
approach,1,approach
appropriate,1,appropriate
approve,1,approve
arrange,3,"arrange, arranged, arranging"
ask,3,"ask, asked, asking"
assert,3,"assert, asserted, asserting"
assess,3,"assess, assessed, assessing"
assign,2,"assign, assigning"
assis,1,assis
assist,3,"assist, assisted, assisting"
assure,1,assured
assuredly,1,assuredly
authentic,1,authentic
authorize,1,authorize
balance,3,"balance, balanced, balancing"
befriend,3,"befriend, befriended, befriending"
belong,1,belong
bond,3,"bond, bonded, bonding"
boost,3,"boost, boosted, boosting"
brainstorm,1,brainstorm
bridge,3,"bridge, bridged, bridging"
build,1,build
calm,3,"calm, calmed, calming"
candid,1,candid
capable,1,capable
care,3,"care, cared, caring"
categorically,1,categorically
celebrate,3,"celebrate, celebrated, celebrating"
certainly,1,certainly
certify,1,certify
challenge,3,"challenge, challenged, challenging"
champion,3,"champion, championed, championing"
check,3,"check, checked, checking"
cheer,3,"cheer, cheered, cheering"
claim,1,claim
clarify,3,"clarified, clarify, clarifying"
clear,1,clear
clearly,1,clearly
coach,3,"coach, coached, coaching"
cohesive,1,cohesive
collaborate,3,"collaborate, collaborated, collaborating"
comfort,3,"comfort, comforted, comforting"
comfortable,1,comfortable
command,3,"command, commanded, commanding"
commend,3,"commend, commended, commending"
commit,3,"commit, committed, committing"
communicate,3,"communicate, communicated, communicating"
compete,1,compete
competent,1,competent
complete,3,"complete, completed, completing"
completely,1,completely
comprehensive,1,comprehensive
comprehensively,1,comprehensively
compromise,3,"compromise, compromised, compromising"
concede,3,"concede, conceded, conceding"
concern,1,concerns
confident,1,confident
confidently,1,confidently
confront,3,"confront, confronted, confronting"
connect,2,"connect, connecting"
conscientious,1,conscientious
consensus,1,consensus
consider,3,"consider, considered, considering"
considerably,1,considerably
consistent,1,consistent
consistently,1,consistently
console,1,console
constantly,1,constantly
constructive,1,constructive
consult,3,"consult, consulted, consulting"
continously,1,continously
contribute,3,"contribute, contributed, contributing"
control,3,"control, controlled, controlling"
convey,3,"convey, conveyed, conveying"
convince,1,convinced
cooperate,3,"cooperate, cooperated, cooperating"
coordinate,3,"coordinate, coordinated, coordinating"
correct,3,"correct, corrected, correcting"
counsel,3,"counsel, counseled, counseling"
courteous,1,courteous
credible,1,credible
critically,1,critically
crucial,1,crucial
decide,3,"decide, decided, deciding"
decidedly,1,decidedly
decision,1,decision
dedicate,3,"dedicate, dedicated, dedicating"
deeply,1,deeply
deescalate,1,deescalate
defend,3,"defend, defended, defending"
defer,3,"defer, deferred, deferring"
definite,1,definite
definitely,1,definitely
defuse,2,"defused, defusing"
delegate,3,"delegate, delegated, delegating"
deliver,3,"deliver, delivered, delivering"
demand,3,"demand, demanded, demanding"
demonstrate,1,demonstrate
dependable,1,dependable
design,3,"design, designed, designing"
detail,1,detailed
determine,3,"determine, determined, determining"
develop,1,develop
development,1,development
devote,3,"devote, devoted, devoting"
diagnose,3,"diagnose, diagnosed, diagnosing"
dignify,1,dignified
diligent,1,diligent
direct,3,"direct, directed, directing"
directly,1,directly
disclose,3,"disclose, disclosed, disclosing"
discuss,3,"discuss, discussed, discussing"
distinctly,1,distinctly
dominate,1,dominate
dramatically,1,dramatically
drive,3,"drive, driving, drove"
ease,3,"ease, eased, easing"
effectively,1,effectively
efficiently,1,efficiently
embody,1,embody
embrace,3,"embrace, embraced, embracing"
empathize,3,"empathize, empathized, empathizing"
empathy,1,empathy
emphasize,1,emphasize
empower,3,"empower, empowered, empowering"
enable,3,"enable, enabled, enabling"
enact,1,enact
encompass,1,encompassing
encourage,3,"encourage, encouraged, encouraging"
endeavor,3,"endeavor, endeavored, endeavoring"
enforce,3,"enforce, enforced, enforcing"
engage,3,"engage, engaged, engaging"
enhance,3,"enhance, enhanced, enhancing"
enormously,1,enormously
ensure,3,"ensure, ensured, ensuring"
entire,1,entire
entirely,1,entirely
environment,1,environment
equalize,3,"equalize, equalized, equalizing"
equitable,1,equitable
escalate,3,"escalate, escalated, escalating"
especially,1,especially
essential,1,essential
establish,3,"establish, established, establishing"
ethical,1,ethical
evaluate,3,"evaluate, evaluated, evaluating"
ever,1,ever
every,1,every
everyone,1,everyone
evidently,1,evidently
exceed,3,"exceed, exceeded, exceeding"
exceedingly,1,exceedingly
excel,3,"excel, excelled, excelling"
exceptional,1,exceptional
exceptionally,1,exceptionally
exclusively,1,exclusively
execute,3,"execute, executed, executing"
executive,1,executive
exemplary,1,exemplary
exemplify,1,exemplify
exhaustive,1,exhaustive
