SJT_AM,BIMI_mean,ResponseId,predicted_BIMI,actual_BIMI,classification,dimension,text_input,prompt,model,model_revision,script_version,pearson_r,p_value
"I would go if my colleague goes for support, but probably not if they didn't. I know the importance of self-care with this type of job and it's important for me to have the emotional/mental bandwidth to be good at my job. Rest is more important.",6.0,R_1SBwIwW8F80rOMO,6,6.0,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
"I would first encourage them to go, but if I was unsuccessful I would probably go myself depending up on what other responsibilties I have to attend to after work.",4.5,R_3CBBxR5uT1u58pO,3,4.5,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
"I would probably go anyway, because I find that it helps in building trusting bonds to see colleagues in a different setting.",4.6,R_3rins510SiNbr2O,6,4.6,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
I would still go because I think it would be important for broadening my horizons and expanding my social circle.,5.2,R_6N9YyU8vD8qaWGs,2,5.2,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
I would not go. I would explain to my boss that I had other plans and could not make it to the gathering.,2.4,R_5R8iSMGDUllCESJ,2,2.4,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
I would attend even if alone. Building relationships supports teamwork. Connection strengthens trust with families and staff.,6.5,R_3g4PtLEPHG9KB43,7,6.5,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
"I would still be inclined towards going, it is important to practice and maintain social skills. It would also be a good chance to get to know and meet more people at this organization.",6.9,R_3aUgQdUOt3kFZnP,5,6.9,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
I would still go to network. It's a chance to meet other people but I would leave early if I was uncomfortable.,3.4,R_102h0ix0lMZmaJo,3,3.4,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
"I also would not be able to go to this social gathering because my own family takes priority. I need to be at home to take care of them and I also have a long commute, so everyone at work would understand my position and why I am not there.",3.3,R_1gLZfP4mnzLD8pU,3,3.3,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
"I would still go to the event, even if for just a short while. If my colleague wants to come that would be fantastic, but I would not push them to do so.",4.5,R_15BSaBNkkmi5XuF,6,4.5,communal,CM,SJT_AM,CM,mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1.0,0.20991126967322885,3.7720358631847926e-10
